Sample.Name,Sample.Desc,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
G4 APR Assessment 12,250 1 AP,12,1852.559,7677.582,243.9327825409498,221.61895958088235,266.24660550101726
G4 APR Assessment 13,250 2 AP,13,2100.261,8354.889,253.9016785603319,231.55934224123263,276.2440148794312
G4 APR Assessment 14,250 3 AP,14,1649.14,7046.641,236.7559502120133,214.45319985824744,259.05870056577913
G4 APR Assessment 15,250 4 AP,15,1960.955,8018.011,247.16860044002442,224.8471858015307,269.4900150785181
G4 APR Assessment 16,250 5 AP,16,1740.62,7739.934,227.72118988286445,205.42105573509696,250.02132403063194
G4 APR Assessment 18,750 1 AP,18,4147.851,6070.75,682.2877082405516,648.5084960577744,716.0669204233288
G4 APR Assessment 19,750 2 AP,19,3877.545,5445.133,711.0239306140375,676.0800772727617,745.9677839553132
G4 APR Assessment 20,750 3 AP,20,4357.556,6437.959,675.9188865540481,642.3947973529672,709.4429757551289
G4 APR Assessment 21,750 4 AP,21,4626.389,6397.741,721.9966473542017,686.6024044008216,757.3908903075819
G4 APR Assessment 22,750 5 AP,22,4405.164,6161.788,713.8170419221481,678.7588921033168,748.8751917409793
G4 APR Assessment 24,3.0 1 AP,24,12759.623,4408.461,2925.1822773300214,2806.9353008455464,3043.4292538144964
G4 APR Assessment 25,3.0 2 AP,25,15446.198,5182.068,3014.542804188757,2893.862956421911,3135.2226519556034
G4 APR Assessment 26,3.0 3 AP,26,14777.056,4849.467,3083.4003620691956,2960.897209942186,3205.9035141962054
G4 APR Assessment 27,3.0 4 AP,27,14915.923,4968.637,3036.6199175684446,2915.3506996572396,3157.8891354796497
G4 APR Assessment 28,3.0 5 AP,28,14356.583,4652.917,3123.1789462170877,2999.6426219119726,3246.715270522203
G4 APR Assessment 30,250 1 R,30,2203.227,6505.65,340.23528851498077,317.037557759597,363.4330192703645
G4 APR Assessment 31,250 2 R,31,2510.438,7583.89,332.67228814437954,309.59075115723886,355.7538251315202
G4 APR Assessment 32,250 3 R,32,2497.924,7434.595,337.58549853353173,314.4293151590287,360.74168190803476
G4 APR Assessment 33,250 4 R,33,2233.202,6630.033,338.42152521739996,315.2523259106535,361.5907245241464
G4 APR Assessment 34,250 5 R,34,2618.885,7950.902,331.048844131935,307.9912767498245,354.10641151404553
G4 APR Assessment 36,750 1 R,36,6097.266,6585.256,924.3189278665853,880.292278872687,968.3455768604837
G4 APR Assessment 37,750 2 R,37,6840.64,7025.876,972.0520469197727,925.9394732200045,1018.1646206195409
G4 APR Assessment 38,750 3 R,38,7508.378,7470.9,1003.4505544533523,955.9626557146369,1050.9384531920678
G4 APR Assessment 39,750 4 R,39,7320.186,6925.342,1055.5131225884354,1005.7431266878406,1105.2831184890301
G4 APR Assessment 40,750 5 R,40,7335.629,7843.044,933.722078317753,889.2851896758436,978.1589669596624
G4 APR Assessment 42,3.0 1 R,42,21981.797,5539.819,4046.1858163636207,3902.4469739847914,4189.9246587424495
G4 APR Assessment 43,3.0 2 R,43,22624.221,6014.941,3828.725940266278,3689.1506057666575,3968.3012747658986
G4 APR Assessment 44,3.0 3 R,44,21305.906,5429.184,4000.1949509405645,3857.310128928771,4143.079772952358
G4 APR Assessment 45,3.0 4 R,45,21806.539,5285.231,4213.008098924863,4066.2826266253373,4359.733571224388
G4 APR Assessment 46,3.0 5 R,46,21946.088,5520.671,4053.8778251411627,3909.9976681453472,4197.757982136978
