Cmp,sample, R,AP,short_sample,recovery
Atrazine,2.5 1,4809.697109531709,2679.7142104750715,3.0,0.5571482256469948
Atrazine,2.5 2,5218.131327828191,2538.1741335239335,3.0,0.48641438362961487
Atrazine,2.5 3,5518.299460635463,2886.98010111273,3.0,0.5231648122228362
Atrazine,2.5 4,4198.920182467641,2696.823193803559,3.0,0.6422658866115138
Atrazine,2.5 5,5390.551353908043,3174.295653907642,3.0,0.5888628909186332
Atrazine,250 1,296.2885681367019,174.17417252402134,250,0.5878531649714569
Atrazine,250 2,314.21791851381045,180.58829782964924,250,0.5747231051742584
Atrazine,250 3,405.7916058069737,218.55769445974977,250,0.538595898318589
Atrazine,250 4,438.6424993883051,235.91794044071116,250,0.5378364859075512
Atrazine,250 5,299.695006107281,132.45610172027367,250,0.44196966589713116
Atrazine,750 1,753.2269503562734,644.254661961999,750,0.8553260895102984
Atrazine,750 2,1132.1862407623878,749.0176431256584,750,0.6615675196876509
Atrazine,750 3,1034.3162907527558,443.60513566794305,750,0.4288873139038501
Atrazine,750 4,1057.8009351639241,586.6358841345856,750,0.5545806064575624
Atrazine,750 5,1020.933055270987,574.3954610291402,750,0.5626181443176781
Chlorzoxazone,250 1,303.58248313351066,262.76845694862345,250,0.86555869178085
Chlorzoxazone,250 2,316.20809502058154,234.2585399929127,250,0.7408366315785342
Chlorzoxazone,250 3,318.9480286518154,230.73224827731983,250,0.7234164426493518
Chlorzoxazone,250 4,376.81582132757285,254.38299814336807,250,0.675085768020946
Chlorzoxazone,250 5,330.3799656378366,238.83489509979904,250,0.7229097401190799
Chlorzoxazone,3.0 1,4484.063932541949,3011.006330820772,3.0,0.6714904997159301
Chlorzoxazone,3.0 2,4540.653937383395,3276.4676085890624,3.0,0.7215849641422278
Chlorzoxazone,3.0 3,4251.598940691557,3006.4239989539715,3.0,0.7071278455217962
Chlorzoxazone,3.0 4,4251.20583911859,3024.105649447082,3.0,0.7113524406698866
Chlorzoxazone,3.0 5,4180.544902731273,2843.568320906757,3.0,0.6801908332688807
Chlorzoxazone,750 1,1030.1611683878796,693.8279247962565,750,0.6735139569297124
Chlorzoxazone,750 2,1093.5622400261,686.6339613968034,750,0.6278874089328611
Chlorzoxazone,750 3,997.372858875954,737.8463879963784,750,0.7397899205197306
Chlorzoxazone,750 4,1043.5477182218535,772.9738911372914,750,0.7407173410856528
Chlorzoxazone,750 5,1035.529046497491,762.8049099473376,750,0.7366330404032619
Dextromethorphan,250 1,982.2774152420828,249.44732407136473,250,0.2539479379253449
Dextromethorphan,250 2,1072.252371594307,255.85373494954732,250,0.23861335421354615
