Batch,Cmp,Sample.Name,Sample.Desc,Sample.Type,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 2,G5 Cal Curve 78.125 uM,Standard,2,3341.474,4727.687,83.2735703408548,69.47661506421595,97.07052561749366
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 3,G5 Cal Curve 156.25 nM,Standard,3,6777.243,4821.342,156.84782264378075,143.77901500050757,169.91663028705392
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 4,G5 Cal Curve 312.5 nM,Standard,4,10743.164,3900.025,298.9354796609237,285.92509620295147,311.94586311889594
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 5,G5 Cal Curve 625 nM,Standard,5,19081.428,3294.152,619.2931904837627,601.3782374589011,637.2081435086243
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 6,G5 Cal Curve 1.25 uM,Standard,6,27187.775,2481.304,1165.1159742560383,1134.0966300566083,1196.1353184554682
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 7,G5 Cal Curve 2.5 uM,Standard,7,43911.199,1966.029,2372.9961151670777,2316.118011008551,2429.8742193256044
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 8,G5 Cal Curve 5 uM,Standard,8,72014.5,1504.339,5111.520293332645,5024.426842447367,5198.613744217924
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 9,G5 Cal Curve 10 uM,Standard,9,103593.797,1125.001,9947.349213247964,9746.502966786162,10148.195459709767
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 12,250 1 AP,Sample,12,8740.529,3825.319,249.44732407136473,236.61855834633636,262.2760897963931
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 13,250 2 AP,Sample,13,8683.5,3701.834,255.85373494954732,243.0132879966532,268.69418190244147
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 14,250 3 AP,Sample,14,8881.223,4066.413,238.82155638512637,226.0042203961051,251.63889237414764
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 15,250 4 AP,Sample,15,7919.684,3731.01,232.35623654124583,219.54095751728565,245.17151556520602
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 16,250 5 AP,Sample,16,9304.177,4072.36,249.42612030025188,236.59739391555541,262.25484668494835
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 18,750 1 AP,Sample,18,20800.047,2934.496,756.0786286021471,735.0526336548301,777.1046235494641
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 19,750 2 AP,Sample,19,19204.74,2604.656,786.1933880262866,764.4510307231882,807.935745329385
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 20,750 3 AP,Sample,20,19771.244,2928.999,720.3903038194692,700.2015737694301,740.5790338695083
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 21,750 4 AP,Sample,21,21077.193,3193.79,704.4735172782625,684.6533642538805,724.2936703026446
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 22,750 5 AP,Sample,22,22031.678,3147.899,746.6513574347136,725.8478622760405,767.4548525933868
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 24,3.0 1 AP,Sample,24,52611.977,1942.253,2879.8095405758368,2814.645654773607,2944.9734263780665
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 25,3.0 2 AP,Sample,25,53396.371,1745.121,3254.8544178068455,3184.5141926711876,3325.1946429425034
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 26,3.0 3 AP,Sample,26,53245.082,1864.172,3037.2677857267054,2969.835484685931,3104.7000867674797
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 27,3.0 4 AP,Sample,27,56326.082,1680.275,3567.937546488125,3493.849026287595,3642.026066688655
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 28,3.0 5 AP,Sample,28,54467.789,1862.689,3109.8510772215304,3041.4200365493334,3178.2821178937274
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 30,250 1 R,Sample,30,22420.535,2429.451,982.2774152420828,955.7506092872917,1008.804221196874
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 31,250 2 R,Sample,31,22346.088,2217.007,1072.252371594307,1043.5091298881177,1100.9956133004964
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 32,250 3 R,Sample,32,23638.291,2105.987,1193.404978085985,1161.6964510931293,1225.1135050788407
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 33,250 4 R,Sample,33,24276.33,2327.972,1109.1433871451482,1079.4938402512503,1138.792934039046
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 34,250 5 R,Sample,34,23822.352,2879.798,881.1770108254872,857.1344245683661,905.2195970826083
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 36,750 1 R,Sample,36,53891.066,2223.75,2575.359765298222,2514.989381306512,2635.7301492899323
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 37,750 2 R,Sample,37,53277.535,2299.713,2461.6217255074366,2403.1836333799215,2520.0598176349517
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 38,750 3 R,Sample,38,54135.711,2275.072,2528.5519227301406,2468.967308975161,2588.1365364851204
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 39,750 4 R,Sample,39,59517.719,2535.375,2494.4251612296357,2435.4217507587246,2553.428571700547
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 40,750 5 R,Sample,40,59650.922,2395.024,2646.9937103145853,2585.446208617149,2708.541212012022
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 42,3.0 1 R,Sample,42,134393.703,1277.298,11408.107683242528,11119.3758481983,11696.839518286755
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 43,3.0 2 R,Sample,43,144955.641,1299.702,12114.305589099613,11773.96273037392,12454.648447825306
A&P - Recovery Assessment G5.SPL,Dextromethorphan,G5 APR Assessment 44,3.0 3 R,Sample,44,140430.75,1364.86,11148.46717862743,10877.238524019154,11419.695833235706
