Batch,Cmp,Sample.Name,Sample.Desc,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 2,G5 Cal Curve 78.125 uM,2,6361.099,5483.026,85.9305374234973,59.777830356991025,112.08324449000358
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 3,G5 Cal Curve 156.25 nM,3,10554.945,4444.704,152.08103510311503,126.36974029198507,177.792329914245
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 4,G5 Cal Curve 312.5 nM,4,14431.805,2881.056,295.5646548947443,270.3032777286309,320.8260320608577
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 5,G5 Cal Curve 625 nM,5,20314.441,1963.503,586.2271267207116,559.6970204139299,612.7572330274933
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 6,G5 Cal Curve 1.25 uM,6,20688.543,937.938,1224.0759896146901,1187.0027404950936,1261.1492387342867
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 7,G5 Cal Curve 2.5 uM,7,34101.348,712.951,2627.8114247551166,2554.3447965014298,2701.2780530088035
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 8,G5 Cal Curve 5 uM,8,52923.551,536.502,5395.345924525163,5241.758437142829,5548.933411907497
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 9,G5 Cal Curve 10 uM,9,70919.68,385.831,10033.725292958576,9742.847455552755,10324.603130364396
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 12,250 1 AP,12,4377.316,1010.979,258.56054309999126,233.25147805763848,283.8696081423441
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 13,250 2 AP,13,4888.104,1080.512,269.13184583301063,243.84123970163566,294.42245196438563
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 14,250 3 AP,14,4275.995,888.853,284.75262976213617,259.48222443309857,310.02303509117377
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 15,250 4 AP,15,3667.517,683.111,315.1518736115304,289.8961990535289,340.4075481695319
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 16,250 5 AP,16,3960.72,786.259,297.1014761670058,271.84097508606374,322.36197724794783
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 18,750 1 AP,18,8658.497,656.946,740.5718575295168,712.291455849625,768.8522592094087
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 19,750 2 AP,19,8831.722,566.703,871.5281689188032,841.2892805189477,901.7670573186587
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 20,750 3 AP,20,9270.661,577.591,896.9175522952801,866.2558425196489,927.5792620709112
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 21,750 4 AP,21,9467.001,594.962,889.3677327021996,858.8331291841221,919.9023362202772
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 22,750 5 AP,22,9775.725,640.69,853.7581752272881,823.8073621776701,883.7089882769061
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 24,3.0 1 AP,24,27266.779,357.418,4177.681257230643,4059.7503069501704,4295.612207511115
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 25,3.0 2 AP,25,28714.576,521.956,3018.9771142873115,2934.4643863666674,3103.4898422079555
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 26,3.0 3 AP,26,29316.193,464.93,3456.955769941238,3359.9039121449478,3554.0076277375283
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 27,3.0 4 AP,27,26818.992,470.249,3128.8884723721594,3041.2432541813882,3216.5336905629306
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 28,3.0 5 AP,28,26109.92,357.299,4002.723145406824,3889.881607651621,4115.564683162027
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 30,250 1 R,30,6693.63,629.636,601.7455718219371,575.070105815208,628.4210378286663
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 31,250 2 R,31,7365.833,741.113,564.0527807421249,537.7175876981015,590.3879737861483
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 32,250 3 R,32,7939.514,677.705,660.8028878417363,633.5098288783416,688.0959468051309
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 33,250 4 R,33,8450.4,753.083,633.8857892302149,606.8866970698579,660.8848813905719
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 34,250 5 R,34,10003.063,1172.729,487.3053607565589,461.52506728214917,513.0856542309687
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 36,750 1 R,36,34227.414,1332.813,1421.403798080556,1379.8302938433326,1462.9773023177795
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 37,750 2 R,37,36603.59,1360.986,1487.5403087404702,1444.3840012125959,1530.6966162683445
