Batch,Cmp,Sample.Name,Sample.Desc,Sample.Type,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 2,G4 Cal Curve 78.125 uM,Standard,2,567.67,7102.003,78.28894270964129,62.35190246126411,94.22598295801846
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 3,G4 Cal Curve 156.25 nM,Standard,3,1022.277,6141.052,159.59824240414497,144.58850001764614,174.6079847906438
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 4,G4 Cal Curve 312.5 nM,Standard,4,2154.032,6898.348,296.73128680201336,281.7719927953818,311.69058080864494
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 5,G4 Cal Curve 625 nM,Standard,5,4788.945,7806.846,580.6273451509501,560.9206226150433,600.3340676868569
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 6,G4 Cal Curve 1.25 uM,Standard,6,8511.263,6899.025,1167.8703893323743,1131.9370968391147,1203.803681825634
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 7,G4 Cal Curve 2.5 uM,Standard,7,14132.79,5341.802,2517.8965709161866,2448.758953557996,2587.0341882743774
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 8,G4 Cal Curve 5 uM,Standard,8,28401.705,5300.723,5165.095311821787,5061.885710886653,5268.30491275692
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 9,G4 Cal Curve 10 uM,Standard,9,48396.281,4690.636,10206.941125849906,9946.542796311955,10467.339455387857
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 12,250 1 AP,Sample,12,1733.206,7138.553,231.37276989046157,216.6284376741676,246.11710210675554
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 13,250 2 AP,Sample,13,1803.306,6773.385,253.4234883795462,238.65418295881165,268.19279380028075
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 14,250 3 AP,Sample,14,1482.541,5874.451,240.38087243545164,225.63232435816334,255.12942051273993
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 15,250 4 AP,Sample,15,1641.902,6720.764,232.7910602551035,218.0466077446569,247.5355127655501
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 16,250 5 AP,Sample,16,1587.781,6170.409,245.03851345192902,230.284531751588,259.7924951522701
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 18,750 1 AP,Sample,18,3566.56,4780.829,705.8616873581619,682.9673170579177,728.7560576584061
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 19,750 2 AP,Sample,19,3336.665,4572.757,690.4289164445548,667.944972946484,712.9128599426257
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 20,750 3 AP,Sample,20,3809.074,4893.747,736.4352246924612,712.7170067003773,760.1534426845452
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 21,750 4 AP,Sample,21,3960.772,5222.204,717.6159125360906,694.4064093310756,740.8254157411056
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 22,750 5 AP,Sample,22,3786.458,4956.54,722.7993089070102,699.4501872733335,746.1484305406868
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 24,3.0 1 AP,Sample,24,10571.614,3471.465,2903.354249712373,2826.9563890134605,2979.7521104112857
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 25,3.0 2 AP,Sample,25,14051.196,4676.483,2864.08320681983,2788.379948712529,2939.7864649271314
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 26,3.0 3 AP,Sample,26,12436.799,4122.146,2876.0823264893993,2800.1657317509403,2951.9989212278583
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 27,3.0 4 AP,Sample,27,12904.682,4183.322,2941.5439933248554,2864.480228954355,3018.6077576953558
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 28,3.0 5 AP,Sample,28,13000.73,4315.897,2871.4638507606574,2795.6292537031154,2947.2984478181993
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 30,250 1 R,Sample,30,1809.445,5019.31,342.1524637431399,326.8050872844322,357.4998402018476
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 31,250 2 R,Sample,31,2254.782,6056.22,353.2763326710109,337.8065951213817,368.7460702206401
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 32,250 3 R,Sample,32,1984.744,5330.59,353.297568925365,337.82755445269197,368.767583398038
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 33,250 4 R,Sample,33,1909.351,4972.911,364.24149357372085,348.6412070548661,379.8417800925756
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 34,250 5 R,Sample,34,2332.579,6032.654,366.7926987985333,351.16067934657883,382.4247182504878
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 36,750 1 R,Sample,36,5377.85,5171.527,984.0181113304147,953.3341994455484,1014.7020232152811
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 37,750 2 R,Sample,37,5655.229,5164.478,1036.283418359642,1004.1035965506912,1068.4632401685926
