Batch,Cmp,Sample.Name,Sample.Desc,Sample.Type,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 2,G8 Cal Curve 78.125 uM,Standard,2,2003.309,5888.444,90.7976221144609,68.3284886978321,113.26675553108971
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 3,G8 Cal Curve 156.25 nM,Standard,3,4943.102,7016.58,160.74567154424133,139.33895523267407,182.1523878558086
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 4,G8 Cal Curve 312.5 nM,Standard,4,10400.003,6895.67,315.36410665173537,293.79935442192834,336.9288588815424
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 5,G8 Cal Curve 625 nM,Standard,5,20051.678,6865.582,588.0718691321802,559.612143594649,616.5315946697114
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 6,G8 Cal Curve 1.25 uM,Standard,6,36179.035,5949.319,1202.9426002581122,1149.8653660881523,1256.019834428072
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 7,G8 Cal Curve 2.5 uM,Standard,7,68617.477,5261.263,2580.5582848470767,2478.3813345521503,2682.735235142003
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 8,G8 Cal Curve 5 uM,Standard,8,109381.25,4342.276,5068.281098335626,4916.830895802413,5219.731300868839
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 9,G8 Cal Curve 10 uM,Standard,9,179635.781,3682.177,10258.577423401914,9850.553147884828,10666.601698919
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 12,250 1 AP,Sample,12,7533.866,6786.191,238.74218714132525,217.68692985894694,259.79744442370355
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 13,250 2 AP,Sample,13,8000.958,7191.116,239.2118125685898,218.15596180221976,260.2676633349599
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 14,250 3 AP,Sample,14,8323.396,7036.903,252.71959770624923,231.6329533923335,273.806242020165
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 15,250 4 AP,Sample,15,7849.935,6988.588,241.25758261422357,220.19876731676024,262.31639791168686
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 16,250 5 AP ,Sample,16,7752.738,6901.617,241.27133183135308,220.21249457040042,262.3301690923057
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 18,750 1 AP,Sample,18,24221.93,6829.582,709.346443129682,676.4189458526334,742.2739404067306
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 19,750 2 AP,Sample,19,23030.146,6276.192,733.1704315501647,699.3176555511056,767.0232075492238
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 20,750 3 AP,Sample,20,24341.729,6606.947,736.0450785230723,702.0798683803505,770.0102886657942
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 21,750 4 AP,Sample,21,23405.711,6587.814,710.5604447958801,677.5860902031101,743.5347993886502
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 22,750 5 AP ,Sample,22,24471.277,6845.858,714.7748693572478,681.6376024406736,747.91213627382194
A&P - Recovery Assessment G8.SPL,-OH Bupropion,G8 APR Assessment 24,3.0 1 AP,Sample,24,67390.227,5471.532,2435.420822118039,2337.6035127577798,2533.238131478298
