Batch,Cmp,Sample.Name,Sample.Desc,Sample.Type,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 2,G2 Cal Curve 78.125 uM,Standard,2,546.232,5287.455,70.05103987289691,-14.440492567444963,154.5425723132388
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 3,G2 Cal Curve 156.25 nM,Standard,3,1144.983,4952.041,194.4117806779052,116.25181061161481,272.5717507441956
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 4,G2 Cal Curve 312.5 nM,Standard,4,1983.02,4589.219,390.8541082850167,306.24448300484335,475.46373356519007
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 5,G2 Cal Curve 625 nM,Standard,5,3536.66,4374.719,762.6353591719474,631.8028772337394,893.4678411101553
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 6,G2 Cal Curve 1.25 uM,Standard,6,6053.512,3783.591,1561.509499276107,1305.6166559832752,1817.4023425689386
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 7,G2 Cal Curve 2.5 uM,Standard,7,9340.804,3231.167,2918.5372009428233,2482.7052709207765,3354.3691309648702
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 8,G2 Cal Curve 5 uM,Standard,8,14830.772,2796.688,5672.255969155421,5004.622104639179,6339.889833671662
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 9,G2 Cal Curve 10 uM,Standard,9,23296.193,2381.527,11981.787358877471,8727.72380495893,15235.850912796011
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 12,250 1 AP,Sample,12,1175.112,3925.264,260.90518040292386,182.74651739331813,339.0638434125296
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 13,250 2 AP,Sample,13,1264.11,3799.699,293.4650351834728,214.4488877981165,372.4811825688291
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 14,250 3 AP,Sample,14,1180.808,4155.818,246.0256578218191,168.07403442179725,323.97728122184094
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 15,250 4 AP,Sample,15,1315.15,3966,292.40822269225276,213.4284310993941,371.38801428511147
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 16,250 5 AP ,Sample,16,1233.44,4076.921,264.002224655736,185.78569734303113,342.2187519684408
A&P - Recovery Assessment G2.SPL,-OH Carbofuran,G2 APR Assessment 18,750 1 AP,Sample,18,2516.045,3549.388,663.7856582782609,547.4392177150098,780.1320988415121
