Batch,Cmp,Sample.Name,Sample.Desc,Sample.Type,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 2,G4 Cal Curve 78.125 uM,Standard,2,626.212,7131.327,92.25932803581004,68.37643022427606,116.14222584734402
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 3,G4 Cal Curve 156.25 nM,Standard,3,1013.518,6762.158,153.49877166290494,130.63326780212344,176.36427552368644
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 4,G4 Cal Curve 312.5 nM,Standard,4,2383.743,8142.138,294.70836336676615,271.98989229647793,317.42683443705437
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 5,G4 Cal Curve 625 nM,Standard,5,5348.818,8719.439,612.8189520563981,581.6097567669681,644.0281473458281
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 6,G4 Cal Curve 1.25 uM,Standard,6,9138.513,7873.037,1159.655011033858,1105.084190195788,1214.225831871928
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 7,G4 Cal Curve 2.5 uM,Standard,7,14329.775,6090.565,2368.335231561616,2266.5501103140164,2470.120352809216
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 8,G4 Cal Curve 5 uM,Standard,8,27982.551,5445.335,5295.381492455621,5131.228627980645,5459.534356930597
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 9,G4 Cal Curve 10 uM,Standard,9,40945.047,4468.608,9817.587044478902,9433.914303243986,10201.259785713817
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 12,250 1 AP,Sample,12,1844.994,7677.582,242.82850229243488,220.41427649116167,265.2427280937081
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 13,250 2 AP,Sample,13,2103.288,8354.889,254.13306061644428,231.68714282948687,276.5789784034017
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 14,250 3 AP,Sample,14,1654.557,7046.641,237.383227246015,214.97724204971547,259.7892124423145
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 15,250 4 AP,Sample,15,1964.047,8018.011,247.4207484176901,224.99602856060767,269.84546827477254
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 16,250 5 AP,Sample,16,1743.057,7739.934,227.89673401532022,205.49408762300828,250.29938040763216
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 18,750 1 AP,Sample,18,4143.448,6070.75,681.5776625054907,647.6725478344433,715.4827771765381
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 19,750 2 AP,Sample,19,3880.729,5445.133,711.627643910708,676.4991948312513,746.7560929901647
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 20,750 3 AP,Sample,20,4351.448,6437.959,674.9844219062643,641.3444709714948,708.6243728410337
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 21,750 4 AP,Sample,21,4619.179,6397.741,720.8983010720714,685.387935712939,756.4086664312038
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 22,750 5 AP,Sample,22,4433.894,6161.788,718.4845960140104,683.073848735906,753.8953432921148
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 24,3.0 1 AP,Sample,24,12747.565,4408.461,2922.936030382939,2804.226080107711,3041.645980658167
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 25,3.0 2 AP,Sample,25,15428.018,5182.068,3011.5084761986805,2890.3748112332555,3132.6421411641054
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 26,3.0 3 AP,Sample,26,14774.712,4849.467,3083.5113635649427,2960.462177115182,3206.5605500147035
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 27,3.0 4 AP,Sample,27,14926.485,4968.637,3039.426295952993,2917.5441532915133,3161.3084386144724
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 28,3.0 5 AP,Sample,28,14364.967,4652.917,3125.6684261403325,3001.5202470796926,3249.8166052009724
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 30,250 1 R,Sample,30,2204.376,6505.65,340.3120786746291,317.00654717807936,363.61761017117885
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 31,250 2 R,Sample,31,2540.47,7583.89,336.4923465941696,313.2467458489873,359.7379473393519
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 32,250 3 R,Sample,32,2499.727,7434.595,337.72665212068506,314.4618925240684,360.99141171730173
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 33,250 4 R,Sample,33,2270.998,6630.033,343.96757020150824,320.6029416059844,367.33219879703205
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 34,250 5 R,Sample,34,2618.308,7950.902,330.87586801906707,307.71490028086316,354.036835757271
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 36,750 1 R,Sample,36,6091.845,6585.256,923.582492988651,879.3872999014275,967.7776860758745
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 37,750 2 R,Sample,37,6853.679,7025.876,974.0099199248959,927.60106288436,1020.4187769654319
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 38,750 3 R,Sample,38,7505.368,7470.9,1003.1574778850622,955.4661247258953,1050.8488310442292
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 39,750 4 R,Sample,39,7349.721,6925.342,1059.9121383752556,1009.721883628881,1110.1023931216303
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 40,750 5 R,Sample,40,7314.234,7843.044,931.0838148115557,886.5599385364861,975.6076910866253
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 42,3.0 1 R,Sample,42,22053.637,5539.819,4060.6250316870046,3915.9912748021493,4205.25878857186
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 43,3.0 2 R,Sample,43,22627,6014.941,3829.94417452943,3689.732172136648,3970.1561769222117
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 44,3.0 3 R,Sample,44,21297.797,5429.184,3999.3770595523256,3855.882159857167,4142.8719592474845
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 45,3.0 4 R,Sample,45,21848.672,5285.231,4222.222483425674,4074.6961152305694,4369.748851620779
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 46,3.0 5 R,Sample,46,21972,5520.671,4059.591326114279,3914.9766477184485,4204.20600451011
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 48,G4 Cal Curve 78.125 uM,Standard,48,646.055,8494.424,80.66837062550243,56.53197931205351,104.80476193895136
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 49,G4 Cal Curve 156.25 nM,Standard,49,1065.56,6715.466,162.1778831306312,139.41092731065157,184.9448389506108
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 50,G4 Cal Curve 312.5 nM,Standard,50,2333.763,7847.397,299.2866246495884,276.5222348879712,322.05101441120564
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 51,G4 Cal Curve 625 nM,Standard,51,4760.236,7637.837,622.5750464370212,590.9935843029075,654.156508571135
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 52,G4 Cal Curve 1.25 uM,Standard,52,8795.472,7573.206,1160.3154996339306,1105.7157531641278,1214.9152461037334
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 53,G4 Cal Curve 2.5 uM,Standard,53,11715.741,4817.834,2449.2797052432797,2344.832792308399,2553.7266181781606
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 54,G4 Cal Curve 5 uM,Standard,54,23622.551,4527.005,5380.980892700182,5215.552211901104,5546.409573499261
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 55,G4 Cal Curve 10 uM,Standard,55,31813.412,3447.714,9893.416206416307,9501.830534785788,10285.001878046825
