Batch,Cmp,Sample.Name,Sample.Desc,Sample.Type,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 2,G6 Cal Curve 78.125 uM,Standard,2,86.183,825.674,88.36008516626225,57.472271217702485,119.24789911482202
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 3,G6 Cal Curve 156.25 nM,Standard,3,157.959,782.072,132.75583260366056,102.23277106251415,163.278894144807
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 4,G6 Cal Curve 312.5 nM,Standard,4,302.202,583.779,276.3610047147986,246.48233249964034,306.23967692995683
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 5,G6 Cal Curve 625 nM,Standard,5,597.777,565.228,521.9670279469719,491.2288429010168,552.7052129929272
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 6,G6 Cal Curve 1.25 uM,Standard,6,1385.818,595.154,1100.0984316542963,1059.3706807380047,1140.826182570588
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 7,G6 Cal Curve 2.5 uM,Standard,7,2157.043,409.462,2437.2515480958473,2356.693514816133,2517.8095813755617
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 8,G6 Cal Curve 5 uM,Standard,8,5132.051,461.721,5097.03527288578,4925.86950593384,5268.20103983772
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 9,G6 Cal Curve 10 uM,Standard,9,4724.065,212.092,10173.008613123247,9824.330554977903,10521.686671268591
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 12,250 1 AP,Sample,12,197.06,435.502,246.7130117864026,216.77015651710224,276.65586705570297
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 13,250 2 AP,Sample,13,140.545,318.763,241.44453168481596,211.48646618499308,271.40259718463886
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 14,250 3 AP,Sample,14,124.026,318.494,218.02046784682534,187.9809760391403,248.05995965451038
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 15,250 4 AP,Sample,15,138.554,252.11,290.8777701360341,261.01734974483946,320.7381905272287
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 16,250 5 AP ,Sample,16,104.37,301.053,198.58253579079155,168.45842229898506,228.70664928259805
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 18,750 1 AP,Sample,18,540.18,296.778,868.8514301457317,833.1639130388096,904.5389472526538
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 19,750 2 AP,Sample,19,390.617,227.265,822.7365907956764,787.913080344392,857.5601012469608
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 20,750 3 AP,Sample,20,429.515,264.369,779.9341976078058,745.8629126388975,814.0054825767141
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 21,750 4 AP,Sample,21,445.255,279.145,766.4635365345684,732.6185724538948,800.3085006152421
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 22,750 5 AP ,Sample,22,376.377,257.783,705.0468669576467,672.1664690252176,737.9272648900758
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 24,3.0 1 AP,Sample,24,1544.576,223.078,3190.524560102299,3084.855130494703,3296.1939897098946
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 25,3.0 2 AP,Sample,25,1410.667,199.107,3263.78116685189,3155.6331597062467,3371.929173997533
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 26,3.0 3 AP,Sample,26,1829.172,289.459,2915.4737558729958,2819.0623241223234,3011.885187623668
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 27,3.0 4 AP,Sample,27,1517.665,251.877,2781.8001812584953,2689.8558253458473,2873.7445371711433
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 28,3.0 5 AP,Sample,28,1426.049,238.295,2763.1330880296346,2671.8106026327932,2854.455573426476
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 30,250 1 R,Sample,30,162.45,229.926,362.27507785776197,332.3765727480988,392.17358296742515
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 31,250 2 R,Sample,31,119.416,220.167,287.6074142966436,257.74362193916056,317.4712066541266
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 32,250 3 R,Sample,32,160.277,228.544,359.89342408329503,329.99956202826166,389.7872861383284
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 33,250 4 R,Sample,33,149.567,229.415,337.44604809389966,307.58478199569043,367.3073141921089
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 34,250 5 R,Sample,34,150.96,244.077,322.22706929393826,292.3759573964596,352.0781811914169
A&P - Recovery Assessment G6.SPL,Acetaminophen,G6 APR Assessment 36,750 1 R,Sample,36,468.932,255.551,875.600049020276,839.7816458182383,911.4184522223136
