Batch,Cmp,Sample.Name,Sample.Desc,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 2,G4 Cal Curve 78.125 uM,2,627.149,7131.327,92.57042317756908,68.80357762913575,116.33726872600242
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 3,G4 Cal Curve 156.25 nM,3,1011.021,6762.158,153.29509669947086,130.53194360199154,176.05824979695018
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 4,G4 Cal Curve 312.5 nM,4,2360.969,8142.138,292.0550547129075,269.4656545291675,314.6444548966475
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 5,G4 Cal Curve 625 nM,5,5355.194,8719.439,613.5557816164392,582.4609766464379,644.6505865864405
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 6,G4 Cal Curve 1.25 uM,6,9157.224,7873.037,1161.8837918021443,1107.4628676294194,1216.3047159748692
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 7,G4 Cal Curve 2.5 uM,7,14333.41,6090.565,2368.480111474283,2267.143757472786,2469.81646547578
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 8,G4 Cal Curve 5 uM,8,27949.174,5445.335,5287.901653269375,5124.560935755776,5451.242370782974
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 9,G4 Cal Curve 10 uM,9,40962.723,4468.608,9821.85944283076,9439.262883041567,10204.456002619954
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 12,250 1 AP,12,1852.559,7677.582,243.9327825409498,221.61895958088235,266.24660550101726
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 13,250 2 AP,13,2100.261,8354.889,253.9016785603319,231.55934224123263,276.2440148794312
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 14,250 3 AP,14,1649.14,7046.641,236.7559502120133,214.45319985824744,259.05870056577913
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 15,250 4 AP,15,1960.955,8018.011,247.16860044002442,224.8471858015307,269.4900150785181
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 16,250 5 AP,16,1740.62,7739.934,227.72118988286445,205.42105573509696,250.02132403063194
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 18,750 1 AP,18,4147.851,6070.75,682.2877082405516,648.5084960577744,716.0669204233288
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 19,750 2 AP,19,3877.545,5445.133,711.0239306140375,676.0800772727617,745.9677839553132
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 20,750 3 AP,20,4357.556,6437.959,675.9188865540481,642.3947973529672,709.4429757551289
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 21,750 4 AP,21,4626.389,6397.741,721.9966473542017,686.6024044008216,757.3908903075819
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 22,750 5 AP,22,4405.164,6161.788,713.8170419221481,678.7588921033168,748.8751917409793
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 24,3.0 1 AP,24,12759.623,4408.461,2925.1822773300214,2806.9353008455464,3043.4292538144964
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 25,3.0 2 AP,25,15446.198,5182.068,3014.542804188757,2893.862956421911,3135.2226519556034
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 26,3.0 3 AP,26,14777.056,4849.467,3083.4003620691956,2960.897209942186,3205.9035141962054
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 27,3.0 4 AP,27,14915.923,4968.637,3036.6199175684446,2915.3506996572396,3157.8891354796497
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 28,3.0 5 AP,28,14356.583,4652.917,3123.1789462170877,2999.6426219119726,3246.715270522203
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 30,250 1 R,30,2203.227,6505.65,340.23528851498077,317.037557759597,363.4330192703645
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 31,250 2 R,31,2510.438,7583.89,332.67228814437954,309.59075115723886,355.7538251315202
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 32,250 3 R,32,2497.924,7434.595,337.58549853353173,314.4293151590287,360.74168190803476
