Batch,Cmp,Sample.Name,Sample.Desc,Sample.Type,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 2,G1 Cal Curve 78.125 uM,Standard,2,12.414,488.232,58.467105686466624,18.521679868873598,98.41253150405964
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 3,G1 Cal Curve 156.25 nM,Standard,3,35.082,327.904,167.1114634737567,130.22187124163506,204.00105570587831
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 4,G1 Cal Curve 312.5 nM,Standard,4,58.412,309.676,276.38075588013476,239.62330199351413,313.1382097667554
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 5,G1 Cal Curve 625 nM,Standard,5,127.096,232.212,762.985874921902,701.4250625330134,824.5466873107906
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 6,G1 Cal Curve 1.25 uM,Standard,6,239.178,325.249,1022.4546429515666,941.6575845437133,1103.25170135942
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 7,G1 Cal Curve 2.5 uM,Standard,7,597.861,342.808,2471.1647854532785,2288.0807309036477,2654.248840002909
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 8,G1 Cal Curve 5 uM,Standard,8,1163.754,323.987,5439.3728626634675,5117.019190324854,5761.726535002081
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 9,G1 Cal Curve 10 uM,Standard,9,2112.947,377.104,9406.48243430085,8602.471930875503,10210.492937726196
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 12,250 1 AP,Sample,12,42.983,397.303,168.71159503761731,131.84579720608187,205.57739286915276
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 13,250 2 AP,Sample,13,54.115,382.492,213.2140204735053,176.74954821132297,249.6784927356876
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 14,250 3 AP,Sample,14,34.477,231.51,223.173999076033,186.73016414214672,259.6178340099193
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 15,250 4 AP,Sample,15,55.295,332.02,246.77118052391032,210.2756670155307,283.26669403228993
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 16,250 5 AP,Sample,16,31.727,379.335,135.95442374827152,98.47430863842101,173.43453885812204
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 18,750 1 AP,Sample,18,197.905,406.275,680.5582051468762,624.7526598720879,736.3637504216645
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 19,750 2 AP,Sample,19,170.193,337.037,704.9605283564292,647.4811659871185,762.4398907257399
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 20,750 3 AP,Sample,20,120.698,406.737,421.934994540296,381.0379408858928,462.83204819469915
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 21,750 4 AP,Sample,21,148.294,378.982,550.0007487057768,502.5316337946709,597.4698636168827
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 22,750 5 AP,Sample,22,138.484,365.326,533.3989108596483,486.8915583094727,579.9062634098237
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 24,2.5 1 AP,Sample,24,740.144,384.84,2739.6480837888985,2540.3664087739003,2938.9297588038967
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 25,2.5 2 AP,Sample,25,752.589,414.312,2579.280932759965,2389.5589658757476,2769.002899644182
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 26,2.5 3 AP,Sample,26,700.712,361.328,2763.8169620798485,2563.124076112626,2964.509848047071
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 27,2.5 4 AP,Sample,27,663.448,333.776,2837.082765264383,2632.158961514766,3042.006569014
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 28,2.5 5 AP,Sample,28,706.307,348.288,2898.150865289595,2689.7543009601277,3106.5474296190623
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 30,250 1 R,Sample,30,76.836,386.612,289.96241861364405,253.0132412774345,326.91159594985356
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 31,250 2 R,Sample,31,76.109,387.583,286.7757879712523,249.8755577021269,323.67601824037774
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 32,250 3 R,Sample,32,106.367,386.191,393.15750917434787,353.41160316290166,432.9034151857941
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 33,250 4 R,Sample,33,96.827,339.344,406.5284656019764,366.26544708297064,446.79148412098215
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 34,250 5 R,Sample,34,70.764,344.204,299.1551365241096,262.051301749054,336.2589712991652
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 36,750 1 R,Sample,36,191.564,389.682,686.6670536546353,630.4451759650952,742.8889313441754
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 37,750 2 R,Sample,37,249.141,311.814,1110.9717763910112,1023.4619644291612,1198.4815883528613
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 38,750 3 R,Sample,38,248.54,362.564,953.3494827769784,877.7673139773442,1028.9316515766127
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 39,750 4 R,Sample,39,222.38,302.183,1023.2081092776623,942.3540188423415,1104.062199712983
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 40,750 5 R,Sample,40,273.33,371.057,1024.1988616861872,943.2697846842659,1105.1279386881085
A&P - Recovery Assessment G1.SPL,Atrazine,G1 APR Assessment 42,2.5 1 R,Sample,42,1116.785,343.595,4853.164062657264,4554.609444265357,5151.718681049172
