Batch,Cmp,Sample.Name,Sample.Desc,Sample.Type,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 2,G2 Cal Curve 78.125 uM,Standard,2,715.4,5287.455,69.75615171036435,42.04261233987811,97.4696910808506
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 3,G2 Cal Curve 156.25 nM,Standard,3,1376.513,4952.041,148.44339308123145,122.46292710616001,174.4238590563029
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 4,G2 Cal Curve 312.5 nM,Standard,4,2611.786,4589.219,308.6804209281004,282.91022850027605,334.4506133559247
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 5,G2 Cal Curve 625 nM,Standard,5,4901.807,4374.719,610.8934708960046,576.1669730487421,645.6199687432671
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 6,G2 Cal Curve 1.25 uM,Standard,6,9249.179,3783.591,1330.1117129513086,1262.6843338037663,1397.539092098851
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 7,G2 Cal Curve 2.5 uM,Standard,7,14819.265,3231.167,2474.7582801735957,2364.603947351122,2584.9126129960696
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 8,G2 Cal Curve 5 uM,Standard,8,25793.82,2796.688,4878.925631454064,4726.650483627971,5031.200779280158
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 9,G2 Cal Curve 10 uM,Standard,9,44784.734,2381.527,9568.217891698343,9274.02505483901,9862.410728557676
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 12,250 1 AP,Sample,12,1958.384,3925.264,270.08872924699716,244.67268436663787,295.5047741273565
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 13,250 2 AP,Sample,13,1991.276,3799.699,283.91513449375435,258.4002036501426,309.4300653373661
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 14,250 3 AP,Sample,14,2146.982,4155.818,279.8238785254025,254.3415326920764,305.30622435872857
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 15,250 4 AP,Sample,15,1978.02,3966,269.9933365265773,244.57786637282567,295.40880668032895
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 16,250 5 AP ,Sample,16,2129.096,4076.921,282.9088590370495,257.40221746366086,308.4155006104382
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 18,750 1 AP,Sample,18,4316.574,3549.388,663.1619845725037,626.2358328553728,700.0881362896346
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 19,750 2 AP,Sample,19,4505.799,3904.127,629.2724287556786,593.7842066087028,664.7606509026543
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 20,750 3 AP,Sample,20,4049.116,3692.917,597.7558533570306,563.5650227424865,631.9466839715747
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 21,750 4 AP,Sample,21,4324.104,3965.172,594.5114952543985,560.4517447094133,628.5712457993836
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 22,750 5 AP ,Sample,22,4400.152,3933.079,609.9477963197529,575.2601268662906,644.6354657732152
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 24,3.0 1 AP,Sample,24,16062.391,3644.726,2379.78211565772,2272.529447175616,2487.0347841398243
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 25,3.0 2 AP,Sample,25,17651.777,3650.982,2606.089386653854,2492.1114042802797,2720.0673690274284
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 26,3.0 3 AP,Sample,26,17162.416,3609.726,2563.670064572037,2450.9034422242744,2676.4366869197997
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 27,3.0 4 AP,Sample,27,18177.836,3442.071,2841.2508448760727,2720.9608175798558,2961.5408721722897
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 28,3.0 5 AP,Sample,28,17579.566,3951.966,2401.6619070330134,2293.730527811185,2509.593286254842
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 30,250 1 R,Sample,30,2824.245,4469.637,343.1618252403845,316.87777247648756,369.4458780042814
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 31,250 2 R,Sample,31,3042.299,4326.059,382.35133345941875,355.2780223473109,409.4246445715266
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 32,250 3 R,Sample,32,3211.323,4467.084,390.9328513122777,363.6599839358834,418.205718688672
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 33,250 4 R,Sample,33,2674.063,4089.485,355.2516740652395,328.74637322272747,381.75697490775156
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 34,250 5 R,Sample,34,3010.405,4587.754,356.5120624546474,329.9825088015893,383.04161610770547
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 36,750 1 R,Sample,36,7113.946,4203.637,922.6309952156818,873.9094230640917,971.3525673672718
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 37,750 2 R,Sample,37,6535.676,4295.115,829.7666128809719,785.3601978557589,874.173027906185
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 38,750 3 R,Sample,38,6569.402,3859.811,927.887689972304,878.920816868493,976.8545630761149
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 39,750 4 R,Sample,39,6317.366,3847.988,895.1163760131631,847.6776291400768,942.5551228862494
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 40,750 5 R ,Sample,40,6236.185,4093.628,830.711365516663,786.26132991616,875.1614011171661
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 42,3.0 1 R,Sample,42,22856.348,3318.954,3679.605614581024,3541.9147254531167,3817.296503708931
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 43,3.0 2 R,Sample,43,22407.008,3286.424,3644.0470417136107,3506.9482822283317,3781.14580119889
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 44,3.0 3 R,Sample,44,21544.701,3147.211,3658.3628029848737,3521.024345478399,3795.7012604913484
