Batch,Cmp,Sample.Name,Sample.Desc,Sample.Type,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 2,G7 Cal Curve 78.125 uM,Standard,2,182.966,2991.31,66.82946351466536,50.785752922457995,82.87317410687274
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 3,G7 Cal Curve 156.25 nM,Standard,3,428.111,3105.85,153.13959910761184,138.14766636046082,168.13153185476287
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 4,G7 Cal Curve 312.5 nM,Standard,4,596.497,1990.629,335.5585795024805,320.34455613084765,350.7726028741133
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 5,G7 Cal Curve 625 nM,Standard,5,1213.394,2104.578,648.5786147721121,627.2707335861253,669.886495958099
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 6,G7 Cal Curve 1.25 uM,Standard,6,2081.601,1781.345,1321.504983862171,1281.383688919197,1361.626278805145
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 7,G7 Cal Curve 2.5 uM,Standard,7,3917.375,1747.419,2554.5999875487455,2484.858699895626,2624.341275201865
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 8,G7 Cal Curve 5 uM,Standard,8,10469.546,2494.562,4846.599380464639,4746.072022324659,4947.126738604618
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 9,G7 Cal Curve 10 uM,Standard,9,21016.355,2509.087,9964.5077945515,9718.253951253713,10210.761637849288
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 12,250 1 AP,Sample,12,524.353,2230.11,262.76845694862345,248.03854480429925,277.49836909294766
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 13,250 2 AP,Sample,13,536.83,2558.33,234.2585399929127,219.57876055500762,248.93831943081776
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 14,250 3 AP,Sample,14,556.271,2691.099,230.73224827731983,216.052963761842,245.41153279279766
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 15,250 4 AP,Sample,15,551.16,2420.689,254.38299814336807,239.6763000964708,269.08969619026533
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 16,250 5 AP,Sample,16,593.552,2774.958,238.83489509979904,224.15260061819203,253.51718958140606
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 18,750 1 AP,Sample,18,1565.368,2539.131,693.8279247962565,671.3423480346403,716.3135015578728
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 19,750 2 AP,Sample,19,1194.972,1958.496,686.6339613968034,664.3381642412639,708.929758552343
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 20,750 3 AP,Sample,20,1891.536,2886.346,737.8463879963784,714.1817587543607,761.5110172383962
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 21,750 4 AP,Sample,21,1208.981,1761.536,772.9738911372914,748.3498998302293,797.5978824443534
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 22,750 5 AP,Sample,22,1759.989,2598.329,762.8049099473376,738.460097260187,787.1497226344882
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 24,3.0 1 AP,Sample,24,6291.283,2387.352,3011.006330820772,2932.8610383571736,3089.15162328437
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 25,3.0 2 AP,Sample,25,5345.573,1867.021,3276.4676085890624,3194.0460858449837,3358.889131333141
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 26,3.0 3 AP,Sample,26,6090.559,2314.644,3006.4239989539715,2928.3566769265153,3084.4913209814276
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 27,3.0 4 AP,Sample,27,5830.824,2203.206,3024.105649447082,2945.7391949275525,3102.472103966612
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 28,3.0 5 AP,Sample,28,6017.59,2415.585,2843.568320906757,2768.348005843218,2918.788635970296
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 30,250 1 R,Sample,30,843.259,3108.076,303.58248313351066,288.64167374581507,318.52329252120626
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 31,250 2 R,Sample,31,672.856,2381.762,316.20809502058154,301.1703521002269,331.24583794093616
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 32,250 3 R,Sample,32,721.92,2533.658,318.9480286518154,303.88728893970836,334.0087683639224
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 33,250 4 R,Sample,33,608.542,1810.039,376.81582132757285,361.12128866158787,392.51035399355783
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 34,250 5 R,Sample,34,848.261,2874.843,330.3799656378366,315.2163616248916,345.54356965078165
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 36,750 1 R,Sample,36,1825.669,2000.09,1030.1611683878796,998.270259824214,1062.0520769515451
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 37,750 2 R,Sample,37,2318.085,2393.424,1093.5622400261,1059.8625391195876,1127.2619409326123
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 38,750 3 R,Sample,38,1950.761,2206.85,997.372858875954,966.418217073466,1028.327500678442
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 39,750 4 R,Sample,39,2464.923,2666.04,1043.5477182218535,1011.2745873701704,1075.8208490735367
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 40,750 5 R,Sample,40,1864.398,2032.012,1035.529046497491,1003.4848632101165,1067.5732297848654
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 42,3.0 1 R,Sample,42,9135.671,2347.816,4484.063932541949,4386.904147982723,4581.223717101175
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 43,3.0 2 R,Sample,43,9589.402,2434.503,4540.653937383395,4442.948221938741,4638.359652828049
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 44,3.0 3 R,Sample,44,8443.477,2285.503,4251.598940691557,4156.784586537122,4346.413294845992
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 45,3.0 4 R,Sample,45,8376.005,2267.444,4251.20583911859,4156.3956290169535,4346.016049220227
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 46,3.0 5 R,Sample,46,11854.862,3262.107,4180.544902731273,4086.4850262541813,4274.6047792083655
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 48,G7 Cal Curve 78.125 uM,Standard,48,233.542,3185.442,80.50038815154018,64.66959857335772,96.33117772972264
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 49,G7 Cal Curve 156.25 nM,Standard,49,479.645,3481.578,153.0566517813785,138.06407116805113,168.04923239470585
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 50,G7 Cal Curve 312.5 nM,Standard,50,655.918,2382.429,308.0978853053017,293.1240879762206,323.0716826343828
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 51,G7 Cal Curve 625 nM,Standard,51,1520.872,2769.644,617.5238370397575,596.9989963212735,638.0486777582415
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 52,G7 Cal Curve 1.25 uM,Standard,52,2706.446,2352.035,1301.1144574836849,1261.559856662455,1340.6690583049146
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 53,G7 Cal Curve 2.5 uM,Standard,53,6202.488,2800.493,2523.3410943177346,2454.225836888188,2592.456351747281
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 54,G7 Cal Curve 5 uM,Standard,54,9534.219,2306.415,4771.5928087170305,4671.739949250211,4871.44566818385
A&P - Recovery Assessment G7.SPL,Chlorzoxazone,G7 APR Assessment 55,G7 Cal Curve 10 uM,Standard,55,22618.424,2641.935,10198.88325091543,9937.066629886001,10460.69987194486
