Batch,Cmp,Sample.Name,Sample.Desc,Sample.Type,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 2,G1 Cal Curve 78.125 uM,Standard,2,3.894,1043.008,40.19904278841932,3.4113736022131746,76.98671197462546
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 3,G1 Cal Curve 156.25 nM,Standard,3,30.275,762.56,179.43855006984631,143.9933783674693,214.88372177222334
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 4,G1 Cal Curve 312.5 nM,Standard,4,72.524,862.327,351.3217094827687,316.2791869632197,386.36423200231775
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 5,G1 Cal Curve 625 nM,Standard,5,106.444,693.301,620.09482247323194,582.8677744148276,657.3218705316363
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 6,G1 Cal Curve 1.25 uM,Standard,6,235.625,867.605,1077.0813601172995,1029.9571845943462,1124.2055356402527
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 7,G1 Cal Curve 2.5 uM,Standard,7,637.805,937.209,2660.216522595264,2557.1220530797395,2763.3109921107884
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 8,G1 Cal Curve 5 uM,Standard,8,1305.558,979.115,5187.5833556252965,4983.1517669735595,5392.0149442770335
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 9,G1 Cal Curve 10 uM,Standard,9,2367.16,910.196,10093.544813303602,9687.88111395032,10499.208512656885
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 12,250 1 AP,Sample,12,40.45,945.458,191.36833694210054,155.99699949632304,226.73967438787804
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 13,250 2 AP,Sample,13,52.57,948.12,240.38918795124482,205.25011178546274,275.5282641170269
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 14,250 3 AP,Sample,14,31.304,818.975,173.71539864671104,138.23234776823656,209.1984495251855
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 15,250 4 AP,Sample,15,54.335,938.426,249.88738659918909,214.78006540665473,284.99470779172344
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 16,250 5 AP,Sample,16,19.929,939.178,107.89098065568032,71.86435157164568,143.91760973971498
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 18,750 1 AP,Sample,18,172.276,839.97,819.7139930159565,778.9366636757115,860.4913223562014
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 19,750 2 AP,Sample,19,160.02,802.653,797.5169520827467,757.2023018411853,837.831602324308
A&P - Recovery Assessment G1.SPL,DIA,G1 APR Assessment 20,750 3 AP,Sample,20,107.16,951.765,461.604081325474,426.06671059763914,497.14145205330885
