Batch,Cmp,Sample.Name,Sample.Desc,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 2,G7 Cal Curve 78.125 uM,2,29.509,242.078,63.42776356074046,40.67309511451619,86.18243200696473
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 3,G7 Cal Curve 156.25 nM,3,64.473,161.32,138.98713892944124,116.7056595044017,161.2686183544808
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 4,G7 Cal Curve 312.5 nM,4,136.078,168.32,250.19038655071745,228.30696776556155,272.0738053358733
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 5,G7 Cal Curve 625 nM,5,266.904,138.966,552.7415183260828,530.0674443034446,575.4155923487209
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 6,G7 Cal Curve 1.25 uM,6,497.885,116.989,1187.9838407924271,1156.6249055353207,1219.3427760495335
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 7,G7 Cal Curve 2.5 uM,7,1057.246,116.796,2492.7106950616944,2432.4879866557994,2552.9334034675894
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 8,G7 Cal Curve 5 uM,8,2227.151,117.838,5171.679832288139,5044.652065011442,5298.707599564836
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 9,G7 Cal Curve 10 uM,9,4663.542,129.149,9853.241109642153,9606.539298467982,10099.942920816324
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 12,250 1 AP,12,113.592,134.199,260.5265422630946,238.66150901546692,282.3915755107223
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 13,250 2 AP,13,119.387,139.191,263.5940235755379,241.7337160135358,285.45433113754
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 14,250 3 AP,14,112.647,134.53,258.0491404749491,236.17993021798785,279.91835073191044
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 15,250 4 AP,15,132.648,124.579,319.9178604912149,298.09514670606086,341.740574276369
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 16,250 5 AP,16,124.87,131.794,288.0068266498474,266.1746412160588,309.8390120836361
